Data,Hits,The number of reading
10/4/21,14,12
10/3/21,56,25
10/2/21,904,709
10/1/21,20,8
9/29/21,6,6
9/28/21,14,7
9/27/21,12,4
9/26/21,18,10
9/25/21,6,6
9/24/21,22,2
9/22/21,2,2
9/21/21,10,8
9/20/21,20,10
9/19/21,6,5
9/18/21,28,14
9/17/21,18,14
9/16/21,204,71
9/15/21,178,130
9/14/21,20,20
9/13/21,24,13
9/12/21,342,208
9/11/21,294,166
9/10/21,908,586
9/9/21,30,21
9/8/21,36,8
9/7/21,22,17
9/6/21,12,10
9/5/21,72,59
9/4/21,198,117
9/3/21,14,13
9/2/21,442,231
9/1/21,256,126
8/31/21,14,14
8/30/21,64,41
8/29/21,346,259
8/28/21,616,408
8/27/21,278,181
8/26/21,108,70
8/25/21,10,7
8/24/21,14,10
8/23/21,62,14
8/22/21,50,20
8/21/21,58,28
8/20/21,832,433
8/19/21,6,4
8/17/21,8,6
8/16/21,6,4
8/15/21,62,18
8/14/21,562,289
8/13/21,170,78
8/10/21,18,10
8/9/21,4,4
8/8/21,2,2
8/6/21,2,2
8/5/21,4,2
8/3/21,4,3
8/2/21,4,2
7/31/21,84,19
7/30/21,2,2
7/27/21,6,4
7/25/21,6,4
7/23/21,2,2
7/21/21,2,2
7/19/21,2,2
7/15/21,4,4
7/13/21,2,2
7/11/21,2,2
